從開三眞平 dzin 秦
以開三眞平 yin 寅
孃開三眞平 nyin 紉
滂三A眞平 pin 繽
並三A眞平 bhin 頻
疑開三B眞平 qyin 銀
見開三B眞平 cyin 巾
見合三B眞平 cyuin 麏
云合三眞平 hiuin 筠
溪合三B眞平 kyuin 囷
明三B眞平 myin 珉
並三B眞平 bhyin 貧
影開三B眞平 iin 𪔗
影合三B眞平 iiuin 贇
幫三B眞平 byin 彬
明三A眞平 min 民
章合三眞平 juin 諄
徹合三眞平 tyuin 椿
澄合三眞平 dhyuin 䣩
心合三眞平 siuin 荀
常合三眞平 zhuin 純
日合三眞平 ruin 犉
船合三眞平 djuin 脣
來合三眞平 liuin 淪
知合三眞平 dyuin 屯
清合三眞平 tsiuin 逡
精合三眞平 ziuin 遵
昌合三眞平 chuin 春
從合三眞平 dziuin 鷷
以合三眞平 yuin 勻
邪合三眞平 sziuin 旬
見合三A眞平 ciuin 均
羣開三A眞平 gin 𧼒
滂三B眞平 pyin 砏
莊開三臻平 dryn 臻
生開三臻平 sryn 莘
崇開三臻平 jryn 𦿒
明三文平 miun 文
云合三文平 hiun 雲
影合三文平 iun 熅
並三文平 bhiun 汾
幫三文平 biun 分
羣合三文平 giun 羣
曉合三文平 xiun 薰
見合三文平 ciun 君
滂三文平 piun 芬
曉開三欣平 xion 欣
影開三欣平 ion 殷
羣開三欣平 gion 勤
見開三欣平 cion 斤
疑開三欣平 qion 䖐
疑合三元平 qiuan 元
云合三元平 hiuan 袁
並三元平 bhiuan 煩
滂三元平 piuan 飜
曉合三元平 xiuan 暄
影合三元平 iuan 鴛
疑開三元平 qian 言
溪開三元平 kian 攑
曉開三元平 xian 軒
見開三元平 cian 𢳚
影開三元平 ian 蔫
幫三元平 biuan 蕃
羣開三元平 gian 𥴤
明三元平 miuan 樠
匣合一魂平 huon 䰟
見合一魂平 cuon 昆
影合一魂平 uon 𥁕
明一魂平 muon 門
心合一魂平 suon 孫
精合一魂平 zuon 尊
從合一魂平 dzuon 存
端合一魂平 duon 敦
透合一魂平 tuon 暾
定合一魂平 dhuon 屯
清合一魂平 tsuon 村
疑合一魂平 quon 㑮
並一魂平 bhuon 盆
幫一魂平 buon 奔
來合一魂平 luon 論
溪合一魂平 kuon 坤
曉合一魂平 xuon 昏
滂一魂平 puon 濆
泥合一魂平 nuon 黁
匣開一痕平 hon 痕
見開一痕平 con 根
影開一痕平 on 恩
透開一痕平 ton 吞
疑開一痕平 qon 垠
匣開一寒平 han 寒
疑開一寒平 qan 豻
端開一寒平 dan 單
影開一寒平 an 安
泥開一寒平 nan 難
清開一寒平 tsan 餐
透開一寒平 tan 灘
心開一寒平 san 𦙱
定開一寒平 dhan 壇
從開一寒平 dzan 殘
見開一寒平 can 干
來開一寒平 lan 蘭
溪開一寒平 kan 看
曉開一寒平 xan 頇
泥合一寒平 nuan 濡
匣合一寒平 huan 桓
疑合一寒平 quan 岏
端合一寒平 duan 端
影合一寒平 uan 剜
透合一寒平 tuan 湍
心合一寒平 suan 酸
定合一寒平 dhuan 團
從合一寒平 dzuan 欑
見合一寒平 cuan 官
來合一寒平 luan 鑾
曉合一寒平 xuan 歡
溪合一寒平 kuan 寬
精合一寒平 zuan 鑽
並一寒平 bhuan 槃
明一寒平 muan 瞞
滂一寒平 puan 潘
幫一寒平 buan 𤳖
生開二刪平 srean 刪
見合二刪平 coan 關
影合二刪平 oan 彎
生合二刪平 sroan 𣟴
匣合二刪平 hoan 還
幫二刪平 bean 班
明二刪平 mean 蠻
疑開二刪平 qean 顏
見開二刪平 cean 姦
滂二刪平 pean 攀
孃合二刪平 nyoan 奻
疑合二刪平 qoan 𤸷
溪開二刪平 kean 馯
莊合二刪平 droan 跧
生開二山平 sraen 山
見合二山平 coen 鰥
見開二山平 caen 間
匣開二山平 haen 閒
溪開二山平 kaen 慳
崇開二山平 jraen 虥
曉開二山平 xaen 羴
疑開二山平 qaen 訮
影開二山平 aen 黰
幫二山平 baen 斒
來開二山平 laen 斕
孃開二山平 nyaen 嘫
昌開二山平 chaen 㺗
影合二山平 oen 𡣬
澄合二山平 dhyoen 窀
來合二山平 loen 𡰠
羣合二山平 goen 𡰝
