並開一歌上 bax 爸
見合一寒平 kuan 官
來合一寒平 luan 鑾
曉合一寒平 huan 歡
溪合一寒平 khuan 寬
精合一寒平 cuan 鑽
並一寒平 buan 槃
明一寒平 muan 瞞
滂一寒平 phuan 潘
幫一寒平 puan 𤳖
生開二刪平 sran 刪
見合二刪平 kruan 關
影合二刪平 qruan 彎
生合二刪平 sruan 𣟴
匣合二刪平 ghruan 還
幫二刪平 pran 班
明二刪平 mran 蠻
疑開二刪平 ngran 顏
見開二刪平 kran 姦
滂二刪平 phran 攀
孃合二刪平 nruan 奻
疑合二刪平 ngruan 𤸷
溪開二刪平 khran 馯
莊合二刪平 cruan 跧
生開二山平 sren 山
見合二山平 kruen 鰥
見開二山平 kren 間
匣開二山平 ghren 閒
溪開二山平 khren 慳
崇開二山平 zren 虥
曉開二山平 hren 羴
疑開二山平 ngren 訮
影開二山平 qren 黰
幫二山平 pren 斒
來開二山平 lren 斕
孃開二山平 nren 嘫
昌開二山平 chj'ren 㺗
影合二山平 qruen 𡣬
澄合二山平 druen 窀
來合二山平 lruen 𡰠
羣合二山平 gruen 𡰝
知開二山平 tren 譠
澄開二山平 dren 𤣆
匣合二山平 ghruen 湲
心開四先平 sen 先
從開四先平 zen 前
清開四先平 chen 千
精開四先平 cen 箋
透開四先平 then 天
見開四先平 ken 堅
匣開四先平 ghen 賢
影開四先平 qen 煙
來開四先平 len 蓮
定開四先平 den 田
泥開四先平 nen 秊
端開四先平 ten 顛
溪開四先平 khen 牽
疑開四先平 ngen 妍
明四先平 men 眠
並四先平 ben 蹁
影合四先平 quen 淵
見合四先平 kuen 涓
曉合四先平 huen 鋗
幫四先平 pen 邊
匣合四先平 ghuen 玄
曉開四先平 hen 祆
崇合四先平 zr'uen 𤜼
心開三仙平 sien 仙
從開三仙平 zien 錢
清開三仙平 chien 遷
精開三仙平 cien 煎
日開三仙平 njen 然
以開三仙平 jen 延
章開三仙平 cjen 𩜾
見開三A仙平 kjen 甄
知開三仙平 trien 邅
崇開三仙平 zrien 潺
書開三仙平 sjen 羶
徹開三仙平 thrien 脠
常開三仙平 zjen 鋋
澄開三仙平 drien 纏
曉開三B仙平 hien 嘕
來開三仙平 lien 連
滂三A仙平 phjen 篇
並三A仙平 bjen 便
明三A仙平 mjen 緜
從合三仙平 zyen 全
心合三仙平 syen 宣
精合三仙平 cyen 鐫
曉合三A仙平 hjyen 翾
日合三仙平 njyen 堧
昌合三仙平 chjyen 穿
以合三仙平 jyen 沿
邪合三仙平 zsyen 旋
影合三A仙平 qjyen 娟
船合三仙平 zsjyen 船
幫三A仙平 pjen 鞭
邪開三仙平 zsien 㳄
清合三仙平 chyen 詮
章合三仙平 cjyen 專
常合三仙平 zjyen 遄
云合三仙平 yen 員
莊合三仙平 cryen 恮
生合三仙平 sryen 栓
徹合三仙平 thryen 猭
羣開三B仙平 gien 乾
溪開三B仙平 khien 愆
羣合三B仙平 gyen 權
澄合三仙平 dryen 椽
來合三仙平 lyen 攣
溪合三B仙平 khyen 弮
影開三B仙平 qien 焉
云開三仙平 ien 漹
影合三B仙平 qyen 𡣬
昌開三仙平 chjen 燀
知合三仙平 tryen 𡰝
見合三B仙平 kyen 勬
心開四蕭平 seu 蕭
透開四蕭平 theu 祧
端開四蕭平 teu 貂
定開四蕭平 deu 迢
見開四蕭平 keu 驍
來開四蕭平 leu 聊
疑開四蕭平 ngeu 堯
曉開四蕭平 heu 膮
影開四蕭平 qeu 幺
溪開四蕭平 kheu 鄡
心開三宵平 sieu 宵
徹開三宵平 thrieu 超
知開三宵平 trieu 朝
澄開三宵平 drieu 鼂
曉開三B宵平 hieu 囂
從開三宵平 zieu 樵
見開三B宵平 kieu 驕
精開三宵平 cieu 焦
日開三宵平 njeu 饒
書開三宵平 sjeu 燒
以開三宵平 jeu 遙
常開三宵平 zjeu 韶
章開三宵平 cjeu 昭
幫三A宵平 pjeu 飆
幫三B宵平 pieu 鑣
並三A宵平 bjeu 瓢
明三A宵平 mjeu 蜱
明三B宵平 mieu 苗
影開三A宵平 qjeu 要
云開三宵平 ieu 鴞
羣開三B宵平 gieu 喬
清開三宵平 chieu 鍫
影開三B宵平 qieu 妖
溪開三A宵平 khjeu 蹻
昌開三宵平 chjeu 怊
滂三A宵平 phjeu 𤐫
羣開三A宵平 gjeu 翹
來開三宵平 lieu 燎
溪開三B宵平 khieu 趫
匣開二肴平 ghrau 肴
見開二肴平 krau 交
崇開二肴平 zrau 巢
孃開二肴平 nrau 鐃
生開二肴平 srau 梢
明二肴平 mrau 茅
曉開二肴平 hrau 虓
幫二肴平 prau 包
滂二肴平 phrau 胞
溪開二肴平 khrau 敲
疑開二肴平 ngrau 聱
莊開二肴平 crau 𦗔
知開二肴平 trau 嘲
初開二肴平 chrau 䜈
並二肴平 brau 庖
影開二肴平 qrau 䫜
徹開二肴平 thrau 䫸
來開二肴平 lrau 顟
澄開二肴平 drau 䄻
匣開一豪平 ghau 豪
見開一豪平 kau 高
來開一豪平 lau 勞
曉開一豪平 hau 蒿
明一豪平 mau 毛
透開一豪平 thau 饕
端開一豪平 tau 刀
心開一豪平 sau 騷
並一豪平 bau 袍
幫一豪平 pau 襃
定開一豪平 dau 陶
精開一豪平 cau 糟
疑開一豪平 ngau 敖
從開一豪平 zau 曹
影開一豪平 qau 𤏶
泥開一豪平 nau 猱
溪開一豪平 khau 尻
清開一豪平 chau 操
滂一豪平 phau 㯱
見開一歌平 ka 歌
清開一歌平 cha 蹉
端開一歌平 ta 多
心開一歌平 sa 娑
定開一歌平 da 駝
從開一歌平 za 醝
疑開一歌平 nga 莪
透開一歌平 tha 佗
來開一歌平 la 羅
泥開一歌平 na 那
匣開一歌平 gha 何
曉開一歌平 ha 訶
溪開一歌平 kha 珂
影開一歌平 qa 阿
見合一歌平 kua 戈
清合一歌平 chua 遳
端合一歌平 tua 𨹄
心合一歌平 sua 莎
並一歌平 bua 婆
定合一歌平 dua 㸰
明一歌平 mua 摩
從合一歌平 zua 矬
疑合一歌平 ngua 訛
透合一歌平 thua 詑
來合一歌平 lua 𩼊
泥合一歌平 nua 捼
幫一歌平 pua 波
滂一歌平 phua 頗
匣合一歌平 ghua 和
溪合一歌平 khua 科
影合一歌平 qua 倭
曉合三歌平 hya 鞾
影合三歌平 qya 𦚢
溪合三歌平 khya 𩨷
羣開三歌平 gia 伽
溪開三歌平 khia 佉
見開三歌平 kia 迦
清合三歌平 chya 脞
精合三歌平 cya 侳
羣合三歌平 gya 瘸
來合三歌平 lya 𦣛
明二麻平 mra 麻
昌開三麻平 chja 車
書開三麻平 sja 奢
以開三麻平 ja 邪
章開三麻平 cja 遮
精開三麻平 cia 嗟
船開三麻平 zsja 蛇
匣合二麻平 ghrua 華
見合二麻平 krua 瓜
曉合二麻平 hrua 華
溪合二麻平 khrua 誇
孃開二麻平 nra 拏
見開二麻平 kra 嘉
匣開二麻平 ghra 遐
滂二麻平 phra 葩
影開二麻平 qra 鴉
幫二麻平 pra 巴
初開二麻平 chra 叉
生開二麻平 sra 鯊
疑開二麻平 ngra 牙
莊開二麻平 cra 樝
澄開二麻平 dra 𡨀
邪開三麻平 zsia 衺
常開三麻平 zja 闍
影合二麻平 qrua 窊
莊合二麻平 crua 髽
知合二麻平 trua 檛
並二麻平 bra 爬
崇開二麻平 zra 楂
徹開二麻平 thra 侘
知開二麻平 tra 奓
曉開二麻平 hra 煆
溪開二麻平 khra 䶗
從開三麻平 zia 㚗
日開三麻平 nja 若
心開三麻平 sia 些
知開三麻平 tria 爹
疑合二麻平 ngrua 𣢉
以開三陽平 jang 陽
邪開三陽平 zsiang 詳
來開三陽平 liang 良
曉開三陽平 hiang 香
書開三陽平 sjang 商
並三陽平 byang 房
章開三陽平 cjang 章
昌開三陽平 chjang 昌
溪開三陽平 khiang 羌
見開三陽平 kiang 薑
澄開三陽平 driang 長
知開三陽平 triang 張
日開三陽平 njang 穰
幫三陽平 pyang 方
心開三陽平 siang 襄
精開三陽平 ciang 將
初開三陽平 chriang 創
明三陽平 myang 亡
孃開三陽平 nriang 孃
崇開三陽平 zriang 牀
莊開三陽平 criang 莊
常開三陽平 zjang 常
生開三陽平 sriang 霜
從開三陽平 ziang 牆
清開三陽平 chiang 鏘
溪合三陽平 khyang 匡
云合三陽平 yang 王
影開三陽平 qiang 央
羣開三陽平 giang 強
徹開三陽平 thriang 𦳝
滂三陽平 phyang 芳
羣合三陽平 gyang 狂
定開一唐平 dang 唐
來開一唐平 lang 郎
端開一唐平 tang 當
清開一唐平 chang 倉
見開一唐平 kang 岡
