並開一歌上 bax 爸
見開一侯上 kux 苟
疑開一侯上 ngux 藕
幫一侯上 pux 㨐
泥開一侯上 nux 㝅
心開一侯上 sux 叜
曉開一侯上 hux 吼
滂一侯上 phux 剖
影開一侯上 qux 歐
來開一侯上 lux 塿
精開一侯上 cux 走
溪開一侯上 khux 口
定開一侯上 dux 䕆
從開一侯上 zux 鯫
清開一侯上 chux 趣
影三幽上 qyx 黝
見三幽上 kyx 糾
羣三幽上 gyx 蟉
清開三侵上 chimx 寑
澄開三侵上 drimx 朕
溪開三B侵上 khimx 坅
來開三侵上 limx 廩
心開三侵上 simx 罧
徹開三侵上 thrimx 踸
精開三侵上 cimx 䤐
日開三侵上 njimx 荏
章開三侵上 cjimx 枕
書開三侵上 sjimx 沈
船開三侵上 zsjimx 葚
常開三侵上 zjimx 甚
昌開三侵上 chjimx 瀋
初開三侵上 chrimx 墋
孃開三侵上 nrimx 拰
羣開三B侵上 gimx 噤
見開三B侵上 kimx 錦
從開三侵上 zimx 蕈
疑開三B侵上 ngimx 僸
生開三侵上 srimx 㾕
幫三B侵上 pimx 稟
影開三B侵上 qimx 㱃
滂三B侵上 phimx 品
曉開三B侵上 himx 廞
知開三侵上 trimx 戡
以開三侵上 jimx 潭
崇開三侵上 zrimx 𩒣
見開一覃上 komx 感
定開一覃上 domx 禫
影開一覃上 qomx 晻
泥開一覃上 nomx 腩
透開一覃上 thomx 襑
從開一覃上 zomx 歜
清開一覃上 chomx 慘
疑開一覃上 ngomx 顉
精開一覃上 comx 昝
心開一覃上 somx 糂
溪開一覃上 khomx 坎
匣開一覃上 ghomx 頷
來開一覃上 lomx 壈
端開一覃上 tomx 黕
曉開一覃上 homx 䫲
見開一談上 kamx 敢
書開一談上 sj'amx 㶒
來開一談上 lamx 覽
透開一談上 thamx 𦵹
端開一談上 tamx 膽
定開一談上 damx 噉
清開一談上 chamx 黲
明一談上 mamx 㛧
精開一談上 camx 䭕
從開一談上 zamx 槧
曉開一談上 hamx 喊
影開一談上 qamx 埯
溪開一談上 khamx 𠪚
以開三鹽上 jemx 琰
來開三鹽上 liemx 斂
曉開三B鹽上 hiemx 險
幫三B鹽上 piemx 貶
章開三鹽上 cjemx 颭
溪開三B鹽上 khiemx 𩑳
疑開三B鹽上 ngiemx 顩
羣開三B鹽上 giemx 儉
見開三B鹽上 kiemx 檢
影開三A鹽上 qjemx 黶
日開三鹽上 njemx 冉
書開三鹽上 sjemx 陝
徹開三鹽上 thriemx 諂
影開三B鹽上 qiemx 奄
從開三鹽上 ziemx 漸
清開三鹽上 chiemx 憸
精開三鹽上 ciemx 𩟗
溪開三A鹽上 khjemx 脥
常開三鹽上 zjemx 剡
透開四添上 themx 忝
泥開四添上 nemx 淰
端開四添上 temx 點
定開四添上 demx 簟
溪開四添上 khemx 嗛
來開四添上 lemx 稴
匣開四添上 ghemx 鼸
清開四添上 chemx 憯
見開四添上 kemx 孂
明四添上 memx 𡕢
疑開三嚴上 ngiamx 儼
溪開三嚴上 khiamx 欦
影開三嚴上 qiamx 埯
匣開二咸上 ghremx 豏
澄開二咸上 dremx 湛
溪開二咸上 khremx 㦿
見開二咸上 kremx 鹼
崇開二咸上 zremx 瀺
來開二咸上 lremx 臉
莊開二咸上 cremx 斬
初開二咸上 chremx 䑎
曉開二咸上 hremx 鬫
生開二咸上 sremx 摻
影開二咸上 qremx 黯
孃開二咸上 nremx 𦊔
徹開二咸上 thremx 𠐩
匣開二銜上 ghramx 檻
溪開二銜上 khramx 䫡
生開二銜上 sramx 㨻
影開二銜上 qramx 黤
初開二銜上 chramx 醶
曉開二銜上 hramx 㺖
崇開二銜上 zramx 巉
並三凡上 byamx 范
明三凡上 myamx 錽
幫三凡上 pyamx 𦜒
滂三凡上 phyamx 釩
徹開三嚴上 thriamx 𠑆
心一東去 sungh 送
並三東去 biungh 鳳
見一東去 kungh 貢
來一東去 lungh 弄
端一東去 tungh 涷
溪一東去 khungh 控
精一東去 cungh 糉
影一東去 qungh 瓮
清一東去 chungh 謥
定一東去 dungh 洞
透一東去 thungh 痛
澄三東去 driungh 仲
幫三東去 piungh 諷
溪三東去 khiungh 焪
明三東去 miungh 㝱
曉三東去 hiungh 𧽒
明一東去 mungh 𢄐
清三東去 chiungh 趥
滂三東去 phiungh 賵
從一東去 zungh 𣀒
知三東去 triungh 中
匣一東去 ghungh 哄
泥一東去 nungh 齈
章三東去 cjungh 眾
昌三東去 chjungh 銃
崇三東去 zriungh 㓽
曉一東去 hungh 烘
心一冬去 suungh 宋
精一冬去 cuungh 綜
透一冬去 thuungh 統
明一冬去 muungh 雺
匣一冬去 ghuungh 䃔
以三鍾去 jyungh 用
邪三鍾去 zsyungh 頌
並三鍾去 byungh 俸
羣三鍾去 gyungh 共
幫三鍾去 pyungh 葑
見三鍾去 kyungh 供
影三鍾去 qyungh 雍
知三鍾去 tryungh 湩
精三鍾去 cyungh 縱
徹三鍾去 thryungh 蹱
日三鍾去 njyungh 䩸
章三鍾去 cjyungh 種
澄三鍾去 dryungh 重
來三鍾去 lyungh 贚
溪三鍾去 khyungh 恐
從三鍾去 zyungh 從
孃三鍾去 nryungh 𢫨
見二江去 krungh 絳
匣二江去 ghrungh 巷
知二江去 trungh 戇
澄二江去 drungh 䡴
徹二江去 thrungh 𥈄
崇二江去 zrungh 漴
滂二江去 phrungh 肨
初二江去 chrungh 䎫
生二江去 srungh 淙
章開三支去 cjeh 寘
並三A支去 bjeh 避
章合三支去 cjyeh 惴
來開三支去 lieh 詈
常開三支去 zjeh 豉
精開三支去 cieh 積
心開三支去 sieh 賜
云合三支去 yeh 爲
見合三B支去 kyeh 䞈
滂三B支去 phieh 帔
幫三B支去 pieh 賁
並三B支去 bieh 髲
來合三支去 lyeh 累
見開三B支去 kieh 寄
幫三A支去 pjeh 臂
羣開三B支去 gieh 芰
清開三支去 chieh 刺
以開三支去 jeh 易
疑開三B支去 ngieh 議
滂三A支去 phjeh 譬
從開三支去 zieh 漬
知開三支去 trieh 智
影開三B支去 qieh 倚
澄合三支去 dryeh 縋
昌合三支去 chjyeh 吹
曉開三B支去 hieh 戲
溪開三A支去 khjeh 企
影開三A支去 qjeh 縊
書開三支去 sjeh 翅
生開三支去 srieh 屣
溪合三A支去 khjyeh 觖
影合三B支去 qyeh 餧
疑合三B支去 ngyeh 僞
曉合三B支去 hyeh 毀
影合三A支去 qjyeh 恚
常合三支去 zjyeh 睡
見開三A支去 kjeh 馶
日合三支去 njyeh 䄲
昌開三支去 chjeh 卶
心合三支去 syeh 䅗
知合三支去 tryeh 娷
以合三支去 jyeh 瓗
孃合三支去 nryeh 諉
見合三A支去 kjyeh 瞡
莊開三支去 crieh 𧙁
曉合三A支去 hjyeh 孈
溪開三B支去 khieh 㞆
章開三脂去 cjiih 至
云合三脂去 yih 位
明三B脂去 miih 郿
邪合三脂去 zsyih 遂
精合三脂去 cyih 醉
心合三脂去 syih 邃
來合三脂去 lyih 類
幫三B脂去 piih 祕
羣合三B脂去 gyih 匱
滂三B脂去 phiih 濞
並三B脂去 biih 備
見合三B脂去 kyih 媿
生合三脂去 sryih 帥
溪合三B脂去 khyih 喟
曉合三B脂去 hyih 豷
常開三脂去 zjiih 嗜
來開三脂去 liih 利
孃開三脂去 nriih 膩
滂三A脂去 phjiih 屁
疑開三B脂去 ngiih 劓
知開三脂去 triih 致
溪開三A脂去 khjiih 棄
澄開三脂去 driih 緻
明三A脂去 mjiih 寐
徹開三脂去 thriih 杘
見開三B脂去 kiih 冀
羣開三B脂去 giih 臮
羣合三A脂去 gjyih 悸
清合三脂去 chyih 翠
日開三脂去 njiih 二
精開三脂去 ciih 恣
清開三脂去 chiih 次
影開三B脂去 qiih 懿
心開三脂去 siih 四
溪開三B脂去 khiih 器
見合三A脂去 kjyih 季
並三A脂去 bjiih 鼻
曉合三A脂去 hjyih 䁤
幫三A脂去 pjiih 痹
從合三脂去 zyih 萃
定開三脂去 diih 地
曉開三B脂去 hiih 齂
以開三脂去 jiih 肄
船開三脂去 zsjiih 示
從開三脂去 ziih 自
澄合三脂去 dryih 墜
昌合三脂去 chjyih 出
以合三脂去 jyih 遺
知合三脂去 tryih 轛
昌開三脂去 chjiih 痓
書開三脂去 sjiih 屍
初合三脂去 chryih 㿷
書合三脂去 sjyih 㽷
章開三之去 cjih 志
澄開三之去 drih 值
邪開三之去 zsih 寺
清開三之去 chih 蛓
心開三之去 sih 笥
書開三之去 sjih 試
莊開三之去 crih 胾
來開三之去 lih 吏
從開三之去 zih 字
徹開三之去 thrih 眙
日開三之去 njih 餌
生開三之去 srih 駛
初開三之去 chrih 廁
以開三之去 jih 異
知開三之去 trih 置
常開三之去 zjih 侍
崇開三之去 zrih 事
羣開三之去 gih 忌
昌開三之去 chjih 熾
影開三之去 qih 意
見開三之去 kih 記
曉開三之去 hih 憙
疑開三之去 ngih 䰯
溪開三之去 khih 亟
明三微去 myoih 未
見合三微去 kyoih 貴
云合三微去 yoih 胃
疑合三微去 ngyoih 魏
幫三微去 pyoih 沸
滂三微去 phyoih 費
溪合三微去 khyoih 𥽂
影合三微去 qyoih 尉
曉合三微去 hyoih 諱
並三微去 byoih 𥝋
見開三微去 kioih 既
疑開三微去 ngioih 毅
溪開三微去 khioih 氣
曉開三微去 hioih 欷
羣開三微去 gioih 䤒
影開三微去 qioih 衣
疑開三魚去 ngioh 御
來開三魚去 lioh 慮
見開三魚去 kioh 據
清開三魚去 chioh 覰
溪開三魚去 khioh 㰦
常開三魚去 zjoh 署
書開三魚去 sjoh 恕
知開三魚去 trioh 著
章開三魚去 cjoh 䬡
生開三魚去 srioh 疏
影開三魚去 qioh 飫
澄開三魚去 drioh 箸
羣開三魚去 gioh 遽
心開三魚去 sioh 絮
崇開三魚去 zrioh 助
精開三魚去 cioh 怚
莊開三魚去 crioh 詛
日開三魚去 njoh 洳
以開三魚去 joh 豫
曉開三魚去 hioh 噓
孃開三魚去 nrioh 女
初開三魚去 chrioh 楚
昌開三魚去 chjoh 處
徹開三魚去 thrioh 絮
邪開三魚去 zsioh 𡱣
疑三虞去 ngyoh 遇
影三虞去 qyoh 嫗
常三虞去 zjyoh 樹
澄三虞去 dryoh 住
並三虞去 byoh 附
章三虞去 cjyoh 注
見三虞去 kyoh 屨
曉三虞去 hyoh 昫
書三虞去 sjyoh 戍
以三虞去 jyoh 裕
日三虞去 njyoh 孺
滂三虞去 phyoh 赴
明三虞去 myoh 務
精三虞去 cyoh 緅
羣三虞去 gyoh 懼
云三虞去 yoh 芋
從三虞去 zyoh 埾
生三虞去 sryoh 捒
幫三虞去 pyoh 付
清三虞去 chyoh 娶
知三虞去 tryoh 註
溪三虞去 khyoh 驅
初三虞去 chryoh 菆
徹三虞去 thryoh 𨳳
心三虞去 syoh 尠
來三虞去 lyoh 屢
明一模去 moh 暮
定一模去 doh 渡
來一模去 loh 路
端一模去 toh 妒
透一模去 thoh 菟
見一模去 koh 顧
疑一模去 ngoh 誤
匣一模去 ghoh 護
心一模去 soh 訴
從一模去 zoh 祚
泥一模去 noh 笯
幫一模去 poh 布
影一模去 qoh 汙
滂一模去 phoh 怖
清一模去 choh 厝
溪一模去 khoh 絝
並一模去 boh 捕
曉一模去 hoh 謼
精一模去 coh 作
精開四齊去 ceh 霽
端開四齊去 teh 帝
從開四齊去 zeh 嚌
透開四齊去 theh 替
定開四齊去 deh 第
清開四齊去 cheh 砌
心開四齊去 seh 細
疑開四齊去 ngeh 詣
見開四齊去 keh 計
匣開四齊去 gheh 蒵
溪開四齊去 kheh 契
影開四齊去 qeh 翳
明四齊去 meh 謎
幫四齊去 peh 閉
匣合四齊去 ghueh 慧
見合四齊去 kueh 桂
曉合四齊去 hueh 嘒
滂四齊去 pheh 媲
並四齊去 beh 薜
來開四齊去 leh 麗
泥開四齊去 neh 泥
曉開四齊去 heh 㰥
精開三祭去 cied 祭
心合三祭去 syed 歲
云合三祭去 yed 衛
日合三祭去 njyed 芮
章合三祭去 cjyed 贅
生合三祭去 sryed 𠻜
清合三祭去 chyed 毳
以合三祭去 jyed 銳
知合三祭去 tryed 綴
書合三祭去 sjyed 稅
並三A祭去 bjed 弊
初合三祭去 chryed 㯔
邪合三祭去 zsyed 篲
幫三A祭去 pjed 蔽
見合三B祭去 kyed 劌
明三A祭去 mjed 袂
生開三祭去 sried 㡜
昌開三祭去 chjed 掣
章開三祭去 cjed 制
常開三祭去 zjed 逝
以開三祭去 jed 曳
影開三B祭去 qied 䋵
疑開三A祭去 ngjed 藝
澄開三祭去 dried 滯
來開三祭去 lied 例
溪開三B祭去 khied 憩
書開三祭去 sjed 世
見開三B祭去 kied 猘
知開三祭去 tried 㿃
羣開三B祭去 gied 偈
常合三祭去 zjyed 啜
徹開三祭去 thried 跇
澄合三祭去 dryed 𨧨
疑開三B祭去 ngied 㓷
精合三祭去 cyed 蕝
滂三A祭去 phjed 潎
溪合三廢去 khyad 𥏙
曉合三廢去 hyad 䂕
透開一泰去 thad 泰
見開一泰去 kad 蓋
疑開一泰去 ngad 艾
影開一泰去 qad 藹
泥開一泰去 nad 柰
定開一泰去 dad 大
匣開一泰去 ghad 害
端開一泰去 tad 帶
幫一泰去 pad 貝
滂一泰去 phad 霈
匣合一泰去 ghuad 會
定合一泰去 duad 兌
見合一泰去 kuad 儈
精合一泰去 cuad 最
曉合一泰去 huad 𧬨
溪合一泰去 khuad 𥢶
來合一泰去 luad 酹
疑合一泰去 nguad 外
端合一泰去 tuad 祋
影合一泰去 quad 懀
從合一泰去 zuad 蕞
心合一泰去 suad 𥕸
清合一泰去 chuad 襊
並一泰去 bad 旆
溪開一泰去 khad 磕
清開一泰去 chad 蔡
來開一泰去 lad 賴
曉開一泰去 had 餀
透合一泰去 thuad 娧
明一泰去 mad 眜
見合二佳去 krueh 卦
見開二佳去 kreh 懈
影開二佳去 qreh 隘
匣開二佳去 ghreh 邂
明二佳去 mreh 賣
匣合二佳去 ghrueh 畫
初開二佳去 chreh 差
疑開二佳去 ngreh 睚
曉開二佳去 hreh 謑
幫二佳去 preh 𢈕
並二佳去 breh 粺
崇開二佳去 zreh 㾹
滂二佳去 phreh 派
莊開二佳去 creh 債
溪開二佳去 khreh 𡢖
生開二佳去 sreh 曬
曉合二佳去 hrueh 諣
知開二佳去 treh 膪
見合二皆去 kruaih 怪
影開二皆去 qraih 噫
莊開二皆去 craih 瘵
見開二皆去 kraih 誡
孃開二皆去 nraih 褹
曉開二皆去 hraih 譮
匣開二皆去 ghraih 械
疑開二皆去 ngraih 𦗐
溪合二皆去 khruaih 蒯
幫二皆去 praih 𢷎
滂二皆去 phraih 湃
匣合二皆去 ghruaih 壞
疑合二皆去 ngruaih 聵
並二皆去 braih 𢞎
明二皆去 mraih 䀛
曉合二皆去 hruaih 𧱳
生開二皆去 sraih 鎩
溪開二皆去 khraih 烗
知合二皆去 truaih 顡
見合二夬去 kruad 夬
溪合二夬去 khruad 快
明二夬去 mrad 邁
匣合二夬去 ghruad 話
並二夬去 brad 敗
影合二夬去 qruad 䵳
初合二夬去 chruad 嘬
見開二夬去 krad 犗
徹開二夬去 thrad 蠆
影開二夬去 qrad 喝
生開二夬去 srad 𠱡
澄開二夬去 drad 𦤧
曉開二夬去 hrad 䜕
曉合二夬去 hruad 咶
幫二夬去 prad 敗
崇開二夬去 zrad 寨
匣開二夬去 ghrad 㕢
定合一灰去 duaih 隊
並一灰去 buaih 佩
明一灰去 muaih 妹
滂一灰去 phuaih 配
曉合一灰去 huaih 誨
端合一灰去 tuaih 對
清合一灰去 chuaih 倅
精合一灰去 cuaih 晬
影合一灰去 quaih 𩲄
透合一灰去 thuaih 退
見合一灰去 kuaih 憒
匣合一灰去 ghuaih 潰
溪合一灰去 khuaih 塊
心合一灰去 suaih 碎
泥合一灰去 nuaih 內
來合一灰去 luaih 纇
幫一灰去 puaih 背
疑合一灰去 nguaih 磑
定開一咍去 daih 代
精開一咍去 caih 載
心開一咍去 saih 賽
透開一咍去 thaih 貸
見開一咍去 kaih 溉
溪開一咍去 khaih 慨
疑開一咍去 ngaih 礙
影開一咍去 qaih 愛
匣開一咍去 ghaih 瀣
泥開一咍去 naih 耐
端開一咍去 taih 戴
來開一咍去 laih 賚
清開一咍去 chaih 菜
從開一咍去 zaih 載
曉開一咍去 haih 儗
幫三廢去 pyad 廢
滂三廢去 phyad 肺
影合三廢去 qyad 穢
並三廢去 byad 吠
羣合三廢去 gyad 𤜂
疑開三廢去 ngiad 刈
章開三眞去 cjinh 震
心開三眞去 sinh 信
日開三眞去 njinh 刃
以開三眞去 jinh 胤
來開三眞去 linh 遴
幫三A眞去 pjinh 儐
澄開三眞去 drinh 敶
常開三眞去 zjinh 慎
書開三眞去 sjinh 眒
溪開三A眞去 khjinh 菣
邪開三眞去 zsinh 賮
疑開三B眞去 nginh 憖
精開三眞去 cinh 晉
曉開三B眞去 hinh 衅
知開三眞去 trinh 鎮
羣開三B眞去 ginh 僅
初開三眞去 chrinh 櫬
影開三A眞去 qjinh 印
徹開三眞去 thrinh 疢
滂三A眞去 phjinh 𣎳
清開三眞去 chinh 親
見合三A眞去 kjynh 呁
章合三眞去 cjynh 稕
心合三眞去 synh 𡺲
邪合三眞去 zsynh 殉
精合三眞去 cynh 儁
書合三眞去 sjynh 舜
日合三眞去 njynh 閏
船合三眞去 zsjynh 順
明三文去 myonh 問
云合三文去 yonh 運
曉合三文去 hyonh 訓
滂三文去 phyonh 湓
幫三文去 pyonh 糞
影合三文去 qyonh 醞
見合三文去 kyonh 攈
羣合三文去 gyonh 郡
並三文去 byonh 分
曉開三欣去 hionh 焮
見開三欣去 kionh 靳
羣開三欣去 gionh 近
影開三欣去 qionh 㒚
疑開三欣去 ngionh 垽
疑合三元去 ngyanh 願
影合三元去 qyanh 怨
幫三元去 pyanh 販
溪合三元去 khyanh 券
明三元去 myanh 万
並三元去 byanh 飯
滂三元去 phyanh 嬎
見開三元去 kianh 建
影開三元去 qianh 堰
曉開三元去 hianh 獻
曉合三元去 hyanh 楥
羣開三元去 gianh 健
初合三元去 chryanh 𣀔
云合三元去 yanh 遠
疑開三元去 ngianh 𤬝
羣合三元去 gyanh 圈
見合三元去 kyanh 卛
匣合一魂去 ghuonh 慁
端合一魂去 tuonh 頓
心合一魂去 suonh 巽
溪合一魂去 khuonh 困
泥合一魂去 nuonh 嫩
影合一魂去 quonh 搵
明一魂去 muonh 悶
從合一魂去 zuonh 鐏
見合一魂去 kuonh 睔
滂一魂去 phuonh 噴
定合一魂去 duonh 鈍
清合一魂去 chuonh 寸
並一魂去 buonh 坌
疑合一魂去 nguonh 顐
來合一魂去 luonh 論
幫一魂去 puonh 奔
曉合一魂去 huonh 惛
精合一魂去 cuonh 焌
匣開一痕去 ghonh 恨
見開一痕去 konh 艮
疑開一痕去 ngonh 䭓
影開一痕去 qonh 䭡
匣開一寒去 ghanh 翰
透開一寒去 thanh 炭
影開一寒去 qanh 按
端開一寒去 tanh 旦
定開一寒去 danh 憚
見開一寒去 kanh 旰
疑開一寒去 nganh 岸
溪開一寒去 khanh 侃
曉開一寒去 hanh 漢
來開一寒去 lanh 爛
泥開一寒去 nanh 攤
清開一寒去 chanh 粲
心開一寒去 sanh 繖
精開一寒去 canh 贊
從開一寒去 zanh 㜺
匣合一寒去 ghuanh 換
精合一寒去 cuanh 䂎
影合一寒去 quanh 惋
見合一寒去 kuanh 貫
清合一寒去 chuanh 竄
疑合一寒去 nguanh 玩
定合一寒去 duanh 段
來合一寒去 luanh 亂
端合一寒去 tuanh 鍛
透合一寒去 thuanh 彖
曉合一寒去 huanh 喚
心合一寒去 suanh 筭
明一寒去 muanh 縵
幫一寒去 puanh 半
滂一寒去 phuanh 判
並一寒去 buanh 叛
泥合一寒去 nuanh 偄
從合一寒去 zuanh 攢
溪合一寒去 khuanh 䥗
見開二刪去 kranh 諫
疑開二刪去 ngranh 鴈
影開二刪去 qranh 晏
生開二刪去 sranh 訕
匣開二刪去 ghranh 骭
明二刪去 mranh 慢
影合二刪去 qruanh 綰
匣合二刪去 ghruanh 患
見合二刪去 kruanh 慣
生合二刪去 sruanh 㝈
初合二刪去 chruanh 篡
疑合二刪去 ngruanh 薍
崇開二刪去 zranh 輚
滂二刪去 phranh 襻
孃合二刪去 nruanh 奻
初開二刪去 chranh 鏟
徹開二刪去 thranh 㬄
見開二山去 krenh 襇
匣開二山去 ghrenh 莧
並二山去 brenh 瓣
滂二山去 phrenh 盼
匣合二山去 ghruenh 幻
明二山去 mrenh 蔄
澄開二山去 drenh 袒
幫二山去 prenh 扮
見合二山去 kruenh 鰥
心開四先去 senh 霰
清開四先去 chenh 蒨
曉合四先去 huenh 絢
匣合四先去 ghuenh 縣
見合四先去 kuenh 睊
定開四先去 denh 電
透開四先去 thenh 瑱
來開四先去 lenh 練
見開四先去 kenh 見
泥開四先去 nenh 晛
溪開四先去 khenh 俔
匣開四先去 ghenh 見
疑開四先去 ngenh 硯
影開四先去 qenh 宴
精開四先去 cenh 薦
明四先去 menh 麪
滂四先去 phenh 片
從開四先去 zenh 荐
影合四先去 quenh 䬼
端開四先去 tenh 殿
曉開四先去 henh 𩎌
心開三仙去 sienh 線
章開三仙去 cjenh 戰
常開三仙去 zjenh 繕
疑開三B仙去 ngienh 彥
溪開三A仙去 khjenh 譴
見合三A仙去 kjyenh 絹
云合三仙去 yenh 瑗
明三A仙去 mjenh 面
昌合三仙去 chjyenh 釧
以合三仙去 jyenh 掾
知開三仙去 trienh 𩥇
日合三仙去 njyenh 𤲬
精開三仙去 cienh 箭
昌開三仙去 chjenh 硟
書開三仙去 sjenh 扇
影開三A仙去 qjenh 躽
見合三B仙去 kyenh 眷
羣合三B仙去 gyenh 倦
來合三仙去 lyenh 戀
徹合三仙去 thryenh 猭
幫三B仙去 pienh 變
生合三仙去 sryenh 𨏉
清合三仙去 chyenh 縓
並三B仙去 bienh 卞
邪合三仙去 zsyenh 㳬
心合三仙去 syenh 選
崇合三仙去 zryenh 䉵
莊合三仙去 cryenh 孨
澄合三仙去 dryenh 傳
從開三仙去 zienh 賤
邪開三仙去 zsienh 羨
滂三A仙去 phjenh 騗
常合三仙去 zjyenh 𢮨
孃開三仙去 nrienh 輾
知合三仙去 tryenh 囀
以開三仙去 jenh 衍
並三A仙去 bjenh 便
澄開三仙去 drienh 邅
來開三仙去 lienh 𤹨
溪合三B仙去 khyenh 䄐
章合三仙去 cjyenh 剸
幫四先去 penh 徧
心開四蕭去 seuh 嘯
透開四蕭去 theuh 糶
端開四蕭去 teuh 弔
見開四蕭去 keuh 叫
泥開四蕭去 neuh 尿
定開四蕭去 deuh 藋
溪開四蕭去 kheuh 竅
來開四蕭去 leuh 𩕐
疑開四蕭去 ngeuh 顤
影開四蕭去 qeuh 窔
曉開四蕭去 heuh 㱇
心開三宵去 sieuh 笑
章開三宵去 cjeuh 照
以開三宵去 jeuh 燿
影開三A宵去 qjeuh 要
澄開三宵去 drieuh 召
常開三宵去 zjeuh 邵
羣開三B宵去 gieuh 嶠
滂三A宵去 phjeuh 剽
從開三宵去 zieuh 噍
明三A宵去 mjeuh 妙
清開三宵去 chieuh 陗
來開三宵去 lieuh 尞
溪開三B宵去 khieuh 趬
疑開三B宵去 ngieuh 𧇠
精開三宵去 cieuh 醮
明三B宵去 mieuh 廟
並三A宵去 bjeuh 驃
書開三宵去 sjeuh 少
徹開三宵去 thrieuh 脁
幫三B宵去 pieuh 裱
羣開三A宵去 gjeuh 翹
日開三宵去 njeuh 饒
匣開二肴去 ghrauh 效
見開二肴去 krauh 教
曉開二肴去 hrauh 孝
知開二肴去 trauh 罩
幫二肴去 prauh 豹
溪開二肴去 khrauh 敲
明二肴去 mrauh 皃
滂二肴去 phrauh 奅
徹開二肴去 thrauh 趠
生開二肴去 srauh 稍
澄開二肴去 drauh 棹
孃開二肴去 nrauh 橈
莊開二肴去 crauh 抓
並二肴去 brauh 靤
初開二肴去 chrauh 抄
影開二肴去 qrauh 靿
疑開二肴去 ngrauh 樂
崇開二肴去 zrauh 巢
匣開一豪去 ghauh 号
定開一豪去 dauh 導
端開一豪去 tauh 到
見開一豪去 kauh 誥
疑開一豪去 ngauh 傲
明一豪去 mauh 冃
來開一豪去 lauh 嫪
清開一豪去 chauh 操
並一豪去 bauh 暴
幫一豪去 pauh 報
從開一豪去 zauh 漕
影開一豪去 qauh 奧
心開一豪去 sauh 喿
溪開一豪去 khauh 𩝝
精開一豪去 cauh 竈
曉開一豪去 hauh 秏
泥開一豪去 nauh 腝
見開一歌去 kah 箇
匣開一歌去 ghah 賀
精開一歌去 cah 佐
端開一歌去 tah 跢
來開一歌去 lah 邏
溪開一歌去 khah 坷
疑開一歌去 ngah 餓
定開一歌去 dah 馱
泥開一歌去 nah 奈
心開一歌去 sah 些
曉開一歌去 hah 呵
透開一歌去 thah 拖
見合一歌去 kuah 過
匣合一歌去 ghuah 和
精合一歌去 cuah 挫
溪合一歌去 khuah 課
透合一歌去 thuah 唾
幫一歌去 puah 播
清合一歌去 chuah 剉
明一歌去 muah 磨
泥合一歌去 nuah 愞
滂一歌去 phuah 破
從合一歌去 zuah 座
疑合一歌去 nguah 臥
清開一歌去 chah 諎
曉合一歌去 huah 貨
定合一歌去 duah 惰
並一歌去 buah 縛
來合一歌去 luah 䇔
端合一歌去 tuah 𣑫
心合一歌去 suah 䐝
影開一歌去 qah 侉
影合一歌去 quah 涴
明二麻去 mrah 禡
見開二麻去 krah 駕
影開二麻去 qrah 亞
曉開二麻去 hrah 嚇
疑開二麻去 ngrah 迓
徹開二麻去 thrah 詫
知開二麻去 trah 吒
莊開二麻去 crah 詐
崇開二麻去 zrah 乍
邪開三麻去 zsiah 謝
溪開二麻去 khrah 髂
匣開二麻去 ghrah 暇
從開三麻去 ziah 褯
以開三麻去 jah 夜
昌開三麻去 chjah 䞣
心開三麻去 siah 蝑
章開三麻去 cjah 柘
精開三麻去 ciah 唶
書開三麻去 sjah 舍
船開三麻去 zsjah 射
幫二麻去 prah 霸
滂二麻去 phrah 帊
匣合二麻去 ghruah 摦
曉合二麻去 hruah 化
溪合二麻去 khruah 跨
生合二麻去 sruah 誜
並二麻去 brah 𤝡
孃開二麻去 nrah 䏧
清開三麻去 chiah 笡
生開二麻去 srah 嗄
見合二麻去 kruah 坬
澄開二麻去 drah 䖳
疑合二麻去 ngruah 瓦
影合二麻去 qruah 攨
以開三陽去 jangh 漾
來開三陽去 liangh 亮
崇開三陽去 zriangh 狀
日開三陽去 njangh 讓
書開三陽去 sjangh 餉
知開三陽去 triangh 帳
徹開三陽去 thriangh 悵
曉開三陽去 hiangh 向
澄開三陽去 driangh 仗
孃開三陽去 nriangh 釀
從開三陽去 ziangh 匠
章開三陽去 cjangh 障
常開三陽去 zjangh 尚
莊開三陽去 criangh 壯
影開三陽去 qiangh 怏
羣開三陽去 giangh 弶
昌開三陽去 chjangh 唱
初開三陽去 chriangh 刱
精開三陽去 ciangh 醬
疑開三陽去 ngiangh 𨋕
滂三陽去 phyangh 訪
明三陽去 myangh 妄
曉合三陽去 hyangh 況
見合三陽去 kyangh 誑
云合三陽去 yangh 迋
幫三陽去 pyangh 放
心開三陽去 siangh 相
見開三陽去 kiangh 殭
溪開三陽去 khiangh 唴
清開三陽去 chiangh 蹡
羣合三陽去 gyangh 狂
並三陽去 byangh 防
定開一唐去 dangh 宕
來開一唐去 langh 浪
匣開一唐去 ghangh 吭
影開一唐去 qangh 盎
疑開一唐去 ngangh 枊
精開一唐去 cangh 葬
並一唐去 bangh 傍
從開一唐去 zangh 藏
端開一唐去 tangh 譡
溪開一唐去 khangh 抗
幫一唐去 pangh 螃
透開一唐去 thangh 儻
溪合一唐去 khuangh 曠
泥開一唐去 nangh 儾
心開一唐去 sangh 喪
匣合一唐去 ghuangh 攩
